date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:03:18	29488/29488	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226811312e-7330%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfont.eot?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfonteccb.eot	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:19	29488/29488	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226811312e-7330%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfont.eot?3?	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfont95c6.eot	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:19	31456/31456	---M--	200	added ('OK')	application/font-woff	etag:%226811312e-7ae0%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfont.woff?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfonteccb.woff	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:19	78604/78604	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2268123fab-1330c%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfont.ttf?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfonteccb.ttf	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:20	59882/59882	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22681a67fe-e9ea%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfont.svg?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-SemiBold-webfonteccb.svg	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:20	31549/31549	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22681a67fe-7b3d%22	https://assets.tumblr.com/fonts/gibson/Gibson-Italic-webfont.eot?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-Italic-webfonteccb.eot	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:20	31549/31549	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22681a67fe-7b3d%22	https://assets.tumblr.com/fonts/gibson/Gibson-Italic-webfont.eot?3?	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-Italic-webfont95c6.eot	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:21	33152/33152	---M--	200	added ('OK')	application/font-woff	etag:%2268123fab-8180%22	https://assets.tumblr.com/fonts/gibson/Gibson-Italic-webfont.woff?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-Italic-webfonteccb.woff	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:21	87884/87884	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%2268123fab-1574c%22	https://assets.tumblr.com/fonts/gibson/Gibson-Italic-webfont.ttf?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-Italic-webfonteccb.ttf	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:21	66211/66211	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2268123fab-102a3%22	https://assets.tumblr.com/fonts/gibson/Gibson-Italic-webfont.svg?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-Italic-webfonteccb.svg	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:21	31301/31301	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22681a67fe-7a45%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBoldItalic-webfont.eot?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-SemiBoldItalic-webfonteccb.eot	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:22	31301/31301	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22681a67fe-7a45%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBoldItalic-webfont.eot?3?	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-SemiBoldItalic-webfont95c6.eot	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:22	32956/32956	---M--	200	added ('OK')	application/font-woff	etag:%226811312e-80bc%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBoldItalic-webfont.woff?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-SemiBoldItalic-webfonteccb.woff	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:22	85984/85984	---MCZ	200	added ('OK')	application/font-ttf	etag:W/%22681a67fe-14fe0%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBoldItalic-webfont.ttf?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-SemiBoldItalic-webfonteccb.ttf	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:23	64558/64558	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226811312e-fc2e%22	https://assets.tumblr.com/fonts/gibson/Gibson-SemiBoldItalic-webfont.svg?3	C:/Mis%20lugares%20Web/ecomapas/assets.tumblr.com/fonts/gibson/Gibson-SemiBoldItalic-webfonteccb.svg	(from https://assets.tumblr.com/fonts/gibson/stylesheet.css?v=3)
14:03:23	4306/4306	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2267166be3-10d2%22	https://ourawakawakak.tumblr.com/post/186800128144/android-app://com.tumblr/tumblr/x-callback-url/blog?blogName=ourawakawakak%26postID=186800128144	C:/Mis%20lugares%20Web/ecomapas/ourawakawakak.tumblr.com/post/186800128144/android-app_/com.tumblr/tumblr/x-callback-url/blog560c	(from https://ourawakawakak.tumblr.com/post/186800128144/introducci%C3%B3n)
